"station_id","station_name","weather_date","precipitation","snow_depth","snowfall","max_temperature","min_temperature","average_wind_speed"
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-16",1.01,0,0,54,35,7.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-02",0,0,0,50,38,3.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-03",0.72999996,0,0,59,42,6.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-04",0,0,0,59,44,5.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-05",0.53,1.2,25,44,31,8.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-06",0,0,0,40,30,5.6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-07",0,0,0,47,33,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-08",0.05,0,1,39,28,10.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-09",0,0,0,36,27,4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-10",0.01,0,0,39,31,5.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-11",0,0,0,31,18,10.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-12",0,0,0,27,15,6.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-13",0,0,0,22,6,12.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-14",0,0,0,15,-1,6.3
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-01",0.01,2,0,59,44,5.8
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-15",0.44,0,14,35,13,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-17",0,0,0,39,35,7.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-18",0,0,0,36,27,7.2
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-19",0,0,0,39,24,5.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-20",0,0,0,61,39,7.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-21",0.03,0,0,55,44,4.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-22",0,0,0,52,38,5.1
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-23",0.3,0,0,40,35,14.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-24",1.22,0,0,60,36,10.5
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-25",0.02,0,0,61,37,8.9
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-26",0,0,0,39,27,8.7
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-27",0,0,0,41,26,6
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-28",0,0,0,60,38,7.4
"GHCND:USW00094728","NY CITY CENTRAL PARK NY US","2016-02-29",0.05,0,0,61,47,8.5
